,ls3,a4,soct2,idio2,np1,it1,l1b,prot3,vic1ext,aoj11,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,m1,m2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,media3,media4,pn4,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,usmex1,exc7new,vb1,vb2,vb3n,usvb1011,pol1,usvb20,aca6,q1,q2,q5a,q5b,q3c,q10new,q11n,q12bn,q12,q12m,q12f,etid,www1,gi0
595,2,13,3,2,1,2,3,1,2,2,3,6,5,5,6,7,6,4,4,3,1,4,4,5,5,4,1,1,6,4,6,3,6,3,4,6,2,6,10,4,3,10,10,2,3,2,1,3,4,1,1,4001,4003,1,2,1,1,54,1,1,1,12,1,0,0,NA,NA,1,1,1
596,1,58,2,2,1,1,2,2,2,1,6,6,7,7,7,7,7,6,6,6,2,6,6,7,5,2,1,1,1,5,7,6,6,5,5,4,2,9,10,9,8,10,10,2,2,2,2,1,2,1,1,4001,4002,1,2,4,2,78,4,1,2,9,4,0,2,1,1,1,1,1
597,1,25,2,2,2,2,3,2,2,1,3,2,1,1,5,4,7,2,4,3,1,5,7,6,5,5,4,3,1,6,7,1,6,3,5,6,3,4,10,9,9,5,4,2,1,2,1,3,2,1,1,4001,4002,1,2,4,2,75,1,1,5,12,4,0,2,0,2,4,2,1
598,2,13,3,2,2,2,1,2,2,2,3,2,1,2,2,4,3,1,1,1,1,1,2,1,5,5,4,5,2,7,4,4,4,4,3,3,2,3,3,4,4,5,4,2,1,2,2,3,5,1,1,4077,4003,2,5,7,2,41,5,2,77,1,2,0,0,NA,NA,4004,1,2
599,2,58,2,2,1,2,4,2,2,3,6,4,3,5,4,6,4,3,5,1,1,5,5,6,5,4,1,1,3,4,6,2,3,4,5,6,3,10,7,7,6,10,10,2,2,2,2,1,4,1,1,4001,4002,2,2,1,2,53,4,2,2,5,1,0,0,NA,NA,1,1,2
600,3,13,3,3,2,1,4,2,2,1,4,1,2,4,2,6,3,1,2,1,1,3,1,2,4,5,1,2,2,7,4,1,6,4,3,7,3,8,10,10,10,1,1,1,2,2,2,3,4,1,2,NA,4002,2,5,4,1,67,5,1,4,14,4,0,0,NA,NA,1,1,3
601,2,70,2,2,2,2,7,2,2,2,4,4,5,6,6,7,7,4,5,4,4,5,3,5,3,3,1,1,4,3,7,4,5,4,3,4,1,10,10,8,6,10,8,2,2,2,3,2,2,1,1,4002,4003,2,3,2,2,37,5,2,2,7,3,1,1,1,0,1,1,1
602,2,13,3,1,2,2,6,2,2,1,4,2,3,4,4,4,5,2,3,2,1,4,3,5,5,5,2,3,1,1,7,1,5,3,4,6,3,10,10,10,9,10,7,2,2,2,1,3,4,1,1,4003,4003,2,5,8,1,24,5,3,2,9,1,0,0,NA,NA,1,1,2
603,2,15,3,3,2,1,1,2,2,2,4,5,3,4,6,7,7,5,6,6,1,5,6,7,5,2,1,1,1,7,4,1,5,7,7,5,2,9,10,9,10,9,1,1,1,1,1,1,3,1,1,4001,4002,3,2,4,2,45,3,1,77,1,4,0,1,1,0,4,1,1
604,2,13,3,2,2,2,4,2,2,2,3,2,3,3,4,5,5,1,5,2,1,4,3,4,5,5,2,1,6,7,7,2,6,3,3,7,3,2,9,6,2,10,10,1,2,1,1,3,4,1,1,4001,4003,1,2,3,1,44,4,3,1,13,6,0,0,NA,NA,1,1,1
